"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-04-18","16.11","0.00","0.0","0.0","73","79","54","  350","  330","28.0","34.0",,,,,,,,"    1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-04-19","11.18","0.00","0.0","0.0","62","70","49","   10","   20","21.0","27.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-04-20","13.42","0.00","0.0","0.0","58","70","48","  120","  120","23.0","28.0",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-04-21","12.75","0.45","0.0","0.0","60","65","52","  340","  330","25.1","30.0","    1",,"    1",,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-04-22","14.76","0.00","0.0","0.0","58","69","51","  350","  350","25.1","29.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-04-23","9.84","0.00","0.0","0.0","62","76","51","  340","  320","18.1","25.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-04-24","4.47","0.00","0.0","0.0","69","84","53","  100","  100","12.1","16.1",,,"    1",,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-04-25","13.42","0.11","0.0","0.0","64","71","50","  330","  330","25.9","33.1","    1",,"    1",,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-04-26","6.49","0.00","0.0","0.0","57","73","47","  280","  320","14.1","19.0",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-04-27","7.83","0.00","0.0","0.0","66","80","56","  340","  310","16.1","21.9",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-04-28","3.80","0.00","0.0","0.0","69","85","50","  140","  180","12.1","16.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-04-29","10.74","0.00","0.0","0.0","73","85","58","  180","  170","23.0","30.0",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-04-30","16.11","0.00","0.0","0.0","72","82","59","  170","  140","25.1","33.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-01","17.67","0.00","0.0","0.0","74","80","68","  150","  150","25.9","32.0",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-02","18.12","0.01","0.0","0.0","76","87","71","  190","  160","30.0","38.0","    1",,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-03","13.65","0.64","0.0","0.0","75","78","66","  250","  250","40.0","50.1","    1",,"    1",,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-04","7.83","0.73","0.0","0.0","70","73","62","  110","  320","19.9","25.1","    1",,"    1",,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-05","8.05","0.00","0.0","0.0","69","82","58","   20","  340","18.1","25.1","    1",,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-06","4.92","0.00","0.0","0.0","73","88","58","  180","  170","10.1","14.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-07","7.61","0.00","0.0","0.0","77","92","62","  170","  160","15.0","19.9",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-08","14.54","0.00","0.0","0.0","79","90","67","  170","  160","25.9","33.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-09","14.99","0.00","0.0","0.0","78","88","67","  190","  190","25.1","31.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-10","16.55","0.00","0.0","0.0","77","87","65","  180","  170","25.1","31.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-11","20.58","0.00","0.0","0.0","78","89","70","  190","  170","31.1","38.0",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-12","17.00","0.00","0.0","0.0","80","90","73","  200","  190","25.9","33.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-13","14.76","0.00","0.0","0.0","81","90","72","  170","  130","21.9","28.0",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-14","13.87","0.00","0.0","0.0","81","89","73","  190","  190","23.9","30.0",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-15","9.17","0.00","0.0","0.0","80","88","72","  130","  130","17.0","21.0",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-16","8.28","0.00","0.0","0.0","78","91","69","  340","  300","18.1","25.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-17","5.59","0.00","0.0","0.0","80","93","67","  120","  120","14.1","17.0",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-18","12.75","0.00","0.0","0.0","83","95","71","  320","  320","35.1","44.1","    1",,"    1",,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-19","15.66","0.00","0.0","0.0","83","92","72","  170","  160","25.9","33.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-20","8.72","0.48","0.0","0.0","76","80","66","  270","  170","19.9","25.1","    1",,"    1",,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-21","3.80","0.00","0.0","0.0","76","89","66","  140","  140","13.0","16.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-22","7.61","0.00","0.0","0.0","78","89","68","  180","  150","18.1","21.9",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-23","6.93","0.00","0.0","0.0","80","91","70","  180","  150","16.1","19.9",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-24","7.61","0.00","0.0","0.0","80","90","69","  190","  200","15.0","19.0",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-25","10.07","0.01","0.0","0.0","81","91","74","   30","   30","25.9","33.1",,,"    1",,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-26","7.38","0.00","0.0","0.0","82","97","68","  120","  130","15.0","17.0",,,"    1",,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-27","6.71","0.00","0.0","0.0","85","96","75","  100","  110","15.0","21.9",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-28","6.26","0.00","0.0","0.0","85","94","73","   70","   80","15.0","23.0",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-29","8.05","0.00","0.0","0.0","85","95","73","  170","  160","17.0","21.0",,,,,,,,
